"BehaviorSpace results (NetLogo 6.0.2)"
"codeN9b.nlogo"
"500xdata0"
"12/18/2017 11:42:17:533 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","vr","C","memory-limit","experiment","[step]","count turts"
"2","1","100","100","1","1999","17"
"4","1","100","100","1","1999","18"
"1","1","100","100","1","1999","17"
"3","1","100","100","1","1999","17"
"5","1","100","100","1","1999","14"
"6","1","100","100","1","1999","13"
"7","1","100","100","1","1999","19"
"8","1","100","100","1","1999","16"
"9","1","100","100","1","1999","17"
"10","1","100","100","1","1999","17"
"11","1","100","100","1","1999","12"
"12","1","100","100","1","1999","22"
"15","1","100","100","1","1999","13"
"13","1","100","100","1","1999","18"
"14","1","100","100","1","1999","23"
"16","1","100","100","1","1999","15"
"18","1","100","100","1","1999","10"
"17","1","100","100","1","1999","20"
"19","1","100","100","1","1999","17"
"21","1","100","100","1","1999","11"
"20","1","100","100","1","1999","20"
"23","1","100","100","1","1999","15"
"22","1","100","100","1","1999","18"
"24","1","100","100","1","1999","17"
"25","1","100","100","1","1999","20"
"26","1","100","100","1","1999","20"
"28","1","100","100","1","1999","16"
"27","1","100","100","1","1999","21"
"29","1","100","100","1","1999","17"
"33","1","100","100","1","1999","11"
"30","1","100","100","1","1999","22"
"31","1","100","100","1","1999","13"
"32","1","100","100","1","1999","21"
"36","1","100","100","1","1999","19"
"34","1","100","100","1","1999","21"
"35","1","100","100","1","1999","22"
"37","1","100","100","1","1999","16"
"39","1","100","100","1","1999","16"
"40","1","100","100","1","1999","13"
"38","1","100","100","1","1999","17"
"41","1","100","100","1","1999","16"
"42","1","100","100","1","1999","16"
"44","1","100","100","1","1999","16"
"43","1","100","100","1","1999","21"
"45","1","100","100","1","1999","18"
"48","1","100","100","1","1999","13"
"47","1","100","100","1","1999","18"
"46","1","100","100","1","1999","22"
"49","1","100","100","1","1999","18"
"52","1","100","100","1","1999","14"
"50","1","100","100","1","1999","20"
"51","1","100","100","1","1999","19"
"54","1","100","100","1","1999","12"
"53","1","100","100","1","1999","20"
"55","1","100","100","1","1999","13"
"56","1","100","100","1","1999","16"
"57","1","100","100","1","1999","17"
"60","1","100","100","1","1999","18"
"58","1","100","100","1","1999","20"
"59","1","100","100","1","1999","18"
"61","1","100","100","1","1999","8"
"64","1","100","100","1","1999","17"
"62","1","100","100","1","1999","20"
"63","1","100","100","1","1999","20"
"65","1","100","100","1","1999","14"
"68","1","100","100","1","1999","17"
"67","1","100","100","1","1999","17"
"69","1","100","100","1","1999","18"
"66","1","100","100","1","1999","22"
"71","1","100","100","1","1999","16"
"73","1","100","100","1","1999","14"
"72","1","100","100","1","1999","20"
"70","1","100","100","1","1999","25"
"76","1","100","100","1","1999","15"
"74","1","100","100","1","1999","21"
"75","1","100","100","1","1999","21"
"77","1","100","100","1","1999","21"
"79","1","100","100","1","1999","21"
"78","1","100","100","1","1999","20"
"80","1","100","100","1","1999","14"
"81","1","100","100","1","1999","16"
"84","1","100","100","1","1999","14"
"82","1","100","100","1","1999","19"
"83","1","100","100","1","1999","13"
"85","1","100","100","1","1999","14"
"87","1","100","100","1","1999","16"
"89","1","100","100","1","1999","15"
"86","1","100","100","1","1999","23"
"88","1","100","100","1","1999","23"
"90","1","100","100","1","1999","20"
"92","1","100","100","1","1999","13"
"93","1","100","100","1","1999","14"
"91","1","100","100","1","1999","21"
"95","1","100","100","1","1999","8"
"94","1","100","100","1","1999","17"
"96","1","100","100","1","1999","18"
"97","1","100","100","1","1999","15"
"98","1","100","100","1","1999","20"
"99","1","100","100","1","1999","17"
"100","1","100","100","1","1999","17"
"101","1","100","100","1","1999","22"
"102","1","100","100","1","1999","13"
"103","1","100","100","1","1999","22"
"104","1","100","100","1","1999","21"
"105","1","100","100","1","1999","18"
"106","1","100","100","1","1999","17"
"107","1","100","100","1","1999","15"
"108","1","100","100","1","1999","14"
"109","1","100","100","1","1999","16"
"110","1","100","100","1","1999","16"
"111","1","100","100","1","1999","17"
"112","1","100","100","1","1999","18"
"113","1","100","100","1","1999","16"
"114","1","100","100","1","1999","17"
"115","1","100","100","1","1999","12"
"117","1","100","100","1","1999","18"
"116","1","100","100","1","1999","21"
"118","1","100","100","1","1999","10"
"119","1","100","100","1","1999","13"
"121","1","100","100","1","1999","13"
"120","1","100","100","1","1999","17"
"122","1","100","100","1","1999","15"
"123","1","100","100","1","1999","18"
"125","1","100","100","1","1999","13"
"124","1","100","100","1","1999","15"
"126","1","100","100","1","1999","19"
"127","1","100","100","1","1999","20"
"129","1","100","100","1","1999","17"
"128","1","100","100","1","1999","21"
"130","1","100","100","1","1999","16"
"131","1","100","100","1","1999","19"
"132","1","100","100","1","1999","18"
"133","1","100","100","1","1999","20"
"135","1","100","100","1","1999","12"
"134","1","100","100","1","1999","20"
"136","1","100","100","1","1999","16"
"137","1","100","100","1","1999","16"
"138","1","100","100","1","1999","18"
"139","1","100","100","1","1999","21"
"140","1","100","100","1","1999","15"
"141","1","100","100","1","1999","15"
"142","1","100","100","1","1999","15"
