"BehaviorSpace results (NetLogo 6.0.2)"
"codeN9b.nlogo"
"500xdata-Cs"
"12/17/2017 12:47:00:365 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","vr","C","memory-limit","experiment","[step]","count turts with [cooperative?]","count turts"
"4","2","10","100","1","1999","0","23"
"1","2","10","100","1","1999","0","23"
"2","2","10","100","1","1999","1","22"
"3","2","10","100","1","1999","0","25"
"5","2","10","100","1","1999","0","23"
"7","2","10","100","1","1999","0","22"
"6","2","10","100","1","1999","1","23"
"8","2","10","100","1","1999","0","22"
"9","2","10","100","1","1999","0","24"
"10","2","10","100","1","1999","1","25"
"12","2","10","100","1","1999","0","21"
"11","2","10","100","1","1999","0","23"
"13","2","10","100","1","1999","0","22"
"15","2","10","100","1","1999","0","21"
"16","2","10","100","1","1999","1","22"
"14","2","10","100","1","1999","0","23"
"17","2","10","100","1","1999","1","23"
"18","2","10","100","1","1999","0","27"
"20","2","10","100","1","1999","0","23"
"19","2","10","100","1","1999","0","24"
"21","2","10","100","1","1999","0","23"
"24","2","10","100","1","1999","0","24"
"22","2","10","100","1","1999","0","20"
"23","2","10","100","1","1999","0","24"
"25","2","10","100","1","1999","0","22"
"28","2","10","100","1","1999","0","23"
"26","2","10","100","1","1999","0","23"
"27","2","10","100","1","1999","1","24"
"29","2","10","100","1","1999","0","22"
"30","2","10","100","1","1999","0","23"
"31","2","10","100","1","1999","0","22"
"32","2","10","100","1","1999","0","24"
"33","2","10","100","1","1999","0","23"
"34","2","10","100","1","1999","2","25"
"35","2","10","100","1","1999","0","21"
"36","2","10","100","1","1999","0","20"
"37","2","10","100","1","1999","0","23"
"39","2","10","100","1","1999","0","23"
"38","2","10","100","1","1999","0","23"
"40","2","10","100","1","1999","0","22"
"41","2","10","100","1","1999","0","21"
"42","2","10","100","1","1999","0","21"
"44","2","10","100","1","1999","0","22"
"43","2","10","100","1","1999","0","26"
"45","2","10","100","1","1999","0","21"
"46","2","10","100","1","1999","0","24"
"47","2","10","100","1","1999","0","24"
"48","2","10","100","1","1999","1","24"
"49","2","10","100","1","1999","0","20"
"50","2","10","100","1","1999","0","23"
"52","2","10","100","1","1999","0","22"
"51","2","10","100","1","1999","0","23"
"53","2","10","100","1","1999","0","20"
"54","2","10","100","1","1999","0","23"
"56","2","10","100","1","1999","0","23"
"55","2","10","100","1","1999","1","25"
"57","2","10","100","1","1999","0","22"
"58","2","10","100","1","1999","0","21"
"60","2","10","100","1","1999","0","24"
"59","2","10","100","1","1999","0","22"
"61","2","10","100","1","1999","0","21"
"62","2","10","100","1","1999","0","21"
"63","2","10","100","1","1999","0","23"
"64","2","10","100","1","1999","0","23"
"65","2","10","100","1","1999","0","23"
"66","2","10","100","1","1999","0","21"
"67","2","10","100","1","1999","0","21"
"68","2","10","100","1","1999","0","22"
"69","2","10","100","1","1999","0","23"
"70","2","10","100","1","1999","0","23"
"73","2","10","100","1","1999","0","19"
"71","2","10","100","1","1999","2","25"
"72","2","10","100","1","1999","0","21"
"74","2","10","100","1","1999","0","21"
"75","2","10","100","1","1999","0","22"
"76","2","10","100","1","1999","0","21"
"77","2","10","100","1","1999","0","23"
"78","2","10","100","1","1999","0","21"
"79","2","10","100","1","1999","0","23"
"81","2","10","100","1","1999","0","21"
"80","2","10","100","1","1999","0","24"
"82","2","10","100","1","1999","0","23"
"83","2","10","100","1","1999","0","24"
"85","2","10","100","1","1999","0","25"
"84","2","10","100","1","1999","0","26"
"87","2","10","100","1","1999","0","22"
"86","2","10","100","1","1999","1","23"
"89","2","10","100","1","1999","0","22"
"88","2","10","100","1","1999","0","25"
"90","2","10","100","1","1999","0","22"
"91","2","10","100","1","1999","0","21"
"92","2","10","100","1","1999","0","21"
"93","2","10","100","1","1999","0","24"
"94","2","10","100","1","1999","0","23"
"95","2","10","100","1","1999","0","23"
"96","2","10","100","1","1999","0","24"
"97","2","10","100","1","1999","0","22"
"98","2","10","100","1","1999","0","25"
"99","2","10","100","1","1999","1","24"
"100","2","10","100","1","1999","0","23"
"101","2","10","100","1","1999","0","22"
"102","2","10","100","1","1999","0","25"
"103","2","10","100","1","1999","0","21"
"104","2","10","100","1","1999","0","22"
"105","2","10","100","1","1999","0","24"
"106","2","10","100","1","1999","0","21"
"108","2","10","100","1","1999","0","22"
"107","2","10","100","1","1999","0","22"
"109","2","10","100","1","1999","0","24"
"110","2","10","100","1","1999","1","25"
"112","2","10","100","1","1999","0","20"
"111","2","10","100","1","1999","0","24"
"113","2","10","100","1","1999","0","23"
"114","2","10","100","1","1999","0","22"
"116","2","10","100","1","1999","0","19"
"115","2","10","100","1","1999","0","23"
"117","2","10","100","1","1999","0","22"
"118","2","10","100","1","1999","0","19"
"120","2","10","100","1","1999","0","23"
"119","2","10","100","1","1999","0","21"
"121","2","10","100","1","1999","0","24"
"122","2","10","100","1","1999","0","22"
"123","2","10","100","1","1999","0","21"
"124","2","10","100","1","1999","0","22"
"125","2","10","100","1","1999","0","23"
"126","2","10","100","1","1999","0","23"
"127","2","10","100","1","1999","0","24"
"128","2","10","100","1","1999","0","24"
"129","2","10","100","1","1999","0","25"
"130","2","10","100","1","1999","0","23"
"131","2","10","100","1","1999","0","25"
"132","2","10","100","1","1999","0","22"
"133","2","10","100","1","1999","1","24"
"134","2","10","100","1","1999","0","26"
"135","2","10","100","1","1999","1","23"
"136","2","10","100","1","1999","0","23"
"137","2","10","100","1","1999","0","20"
"138","2","10","100","1","1999","1","25"
"139","2","10","100","1","1999","0","20"
"140","2","10","100","1","1999","0","23"
"141","2","10","100","1","1999","0","22"
"142","2","10","100","1","1999","0","23"
"143","2","10","100","1","1999","0","20"
"144","2","10","100","1","1999","0","22"
