"BehaviorSpace results (NetLogo 6.0.2)"
"codeN9b.nlogo"
"500xdata-CsVR3"
"01/12/2018 12:45:00:134 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","vr","C","memory-limit","experiment","[step]","count turts with [cooperative?]","count turts"
"2","3","10","100","1","1999","0","43"
"4","3","10","100","1","1999","0","44"
"1","3","10","100","1","1999","1","45"
"3","3","10","100","1","1999","1","45"
"7","3","10","100","1","1999","2","46"
"6","3","10","100","1","1999","2","49"
"5","3","10","100","1","1999","0","44"
"8","3","10","100","1","1999","1","43"
"10","3","10","100","1","1999","0","42"
"9","3","10","100","1","1999","2","45"
"11","3","10","100","1","1999","3","49"
"12","3","10","100","1","1999","1","50"
"13","3","10","100","1","1999","2","46"
"15","3","10","100","1","1999","1","45"
"16","3","10","100","1","1999","0","43"
"14","3","10","100","1","1999","5","50"
"17","3","10","100","1","1999","0","45"
"18","3","10","100","1","1999","1","45"
"19","3","10","100","1","1999","1","46"
"20","3","10","100","1","1999","3","50"
"21","3","10","100","1","1999","1","43"
"22","3","10","100","1","1999","1","44"
"23","3","10","100","1","1999","2","47"
"24","3","10","100","1","1999","1","43"
"25","3","10","100","1","1999","1","46"
"26","3","10","100","1","1999","1","44"
"27","3","10","100","1","1999","0","41"
"28","3","10","100","1","1999","4","49"
"29","3","10","100","1","1999","1","46"
"30","3","10","100","1","1999","0","47"
"31","3","10","100","1","1999","1","44"
"32","3","10","100","1","1999","1","45"
"33","3","10","100","1","1999","0","46"
"34","3","10","100","1","1999","0","44"
"35","3","10","100","1","1999","1","43"
"36","3","10","100","1","1999","1","45"
"37","3","10","100","1","1999","0","41"
"38","3","10","100","1","1999","3","46"
"39","3","10","100","1","1999","1","45"
"40","3","10","100","1","1999","1","46"
"41","3","10","100","1","1999","1","43"
"42","3","10","100","1","1999","1","43"
"43","3","10","100","1","1999","0","43"
"44","3","10","100","1","1999","1","39"
"45","3","10","100","1","1999","1","44"
"47","3","10","100","1","1999","1","44"
"46","3","10","100","1","1999","0","45"
"48","3","10","100","1","1999","1","47"
"49","3","10","100","1","1999","1","44"
"50","3","10","100","1","1999","1","43"
"51","3","10","100","1","1999","0","42"
"52","3","10","100","1","1999","1","48"
"53","3","10","100","1","1999","2","47"
"54","3","10","100","1","1999","0","42"
"55","3","10","100","1","1999","1","47"
"56","3","10","100","1","1999","0","42"
"57","3","10","100","1","1999","1","43"
"59","3","10","100","1","1999","1","43"
"58","3","10","100","1","1999","0","44"
"60","3","10","100","1","1999","3","47"
